year,nhe
1960,27.1
1961,29.1
1962,31.8
1963,34.6
1964,38.2
1965,.
1966,45.8
1967,51.2
1968,58
1969,65.4
1970,74.1
1971,82.4
1972,92.4
1973,102.7
1974,116.3
1975,132.7
1976,152
1977,172.6
1978,194
1979,219.7
1980,253.2
1981,293.6
1982,330.9
1983,364.8
1984,401.9
1985,439.9
1986,472.3
1987,514.5
1988,576.6
1989,642.2
1990,718.7
1991,786
1992,852.2
1993,914.9
1994,966.4
1995,1020.3
1996,1073.6
1997,1132.9
1998,1198.4
1999,1273.2
2000,1366
2001,1483.4
2002,1631
2003,1770.4
2004,1894.7
2005,2026.6
2006,2165.1
2007,2305.5
2008,2402.4
2009,2492.7
2010,2589.6
2011,2676.5
2012,2783.3
2013,2856.6
2014,3002.6
2015,3165.4
2016,3307.4
2017,3446.5
2018,3604.4
2019,3757.4
2020,4144.1
2021,4255.1
