NUMBER,NAME,POSITION,WEIGHT,CLASS,TEAM
17,Jack Coan,QB,221,Jr,wis
5,Graham Mertz,QB,215,Fr,wis
15,Danny Vanden Boom,QB,207,Soph,wis
2,Chase Wolf,QB,196,Fr,wis
32,Julius Davis,RB,189,Fr,wis
37,Garrett Groshek,RB,220,Jr,wis
20,Isaac Guerendo,RB,213,Fr,wis 
36,Hunter Johnson,RB,220,Soph,wis
29,Brady Schipper,RB,206,Fr,wis
5,Zack Annexstad ,QB,220,Soph,umn
15,Jacob Clark,QB,220,Fr,umn
14,Cole Kramer,QB,195,Fr,umn
2,Tanner Morgan,QB,215,Soph,umn
19,Samuel Pickerign,QB,225,Soph,umn
16,Johnny Santaga,QB,205,Soph,umn
4,Shannon Brooks,RB,215,Sr,umn
24,Mohamed Ibrahim,RB,210,Soph,umn
25,Preston Jelen,RB,205,Fr,umn
23,Treyson Potts,RB,200,Fr,umn
1,Rodney Smith,RB,210,Sr,umn
3,Cam Wiley,RB,205,Fr,umn
21,Bryce Williams,RB,205,Soph,umn
28,Jason Williamson ,RB,210,Fr,umn
89,Nnamdi Adim-Madumere,WR,235,Fr,umn
81,Brock Annexstad,WR,200,Soph,umn
7,Chris Autman-Bell,WR,215,Soph,umn
16,Ren Hefley,QB,177,Fr,umi
9,Andy Maddox,QB,212,Fr,umi
10,Dylan McCaffrey,QB,220,Jr,umi
12,Cade McNamara,QB,205,Fr,umi
5,Joe Milton,QB,245,Soph,umi
2,Shea Patterson,QB,202,Sr,umi
6,Michael Sessa,QB,215,Sr,umi
49,Lucas Andrighetto,RB,202,Soph,umi
46,Matt Brown,RB,225,Jr,umi
45,Peter Bush,RB,220,Sr,umi
20,Nicholas Capatina,RB,192,Jr,umi
23,Jordan Castleberry,RB,185,Fr,umi 
44,Jared Char,RB,200,Sr,umi
24,Zach Charbonnet,RB,220,Fr,umi
33,Leon Franklin,RB,193,Fr,umi
25,Hassan Haskins,RB,220,Soph,umi
28,Danny Hughes,RB,192,Fr,umi
10,TJ Green ,QB,210,Sr,nwn
15,Hunter Johnson ,QB,216,Soph,nwn
16,Zac Krause,QB,202,Fr,nwn
7,Andrew Marty,QB,227,Soph,nwn
11,Aidan Smith,QB,215,Jr,nwn
13,Jason Whittaker,QB,222,Fr,nwn
6,Drake Anderson,RB,190,Fr,nwn
33,Johnny Utah,LB,225,Jr,utah
