DATE,var,cty,value
1970-01-01,gdp,chn,228.51055783959498
1970-01-01,gdp,jpn,18699.7429578149
1970-01-01,pop,chn,55.8447515133113
1970-01-01,pop,jpn,69.0106527111301
1971-01-01,gdp,chn,238.014714589444
1971-01-01,gdp,jpn,19328.009038311102
1971-01-01,pop,chn,55.7589527900659
1971-01-01,pop,jpn,68.9197994988175
1972-01-01,gdp,chn,241.08535662966702
1972-01-01,gdp,jpn,20662.7046487845
1972-01-01,pop,chn,55.7148201417085
1972-01-01,pop,jpn,68.6861195587424
1973-01-01,gdp,chn,253.928679992954
1973-01-01,gdp,jpn,22138.431397803397
1973-01-01,pop,chn,55.7144514794786
1973-01-01,pop,jpn,68.3723896477293
1974-01-01,gdp,chn,254.482258900259
1974-01-01,gdp,jpn,21453.706536596103
1974-01-01,pop,chn,55.818037641589
1974-01-01,pop,jpn,68.0859567362848
1975-01-01,gdp,chn,271.82889068466204
1975-01-01,gdp,jpn,21765.669161211597
1975-01-01,pop,chn,56.0742408817335
1975-01-01,pop,jpn,67.8909443494167
1976-01-01,gdp,chn,263.452967311753
1976-01-01,gdp,jpn,22464.0862125594
1976-01-01,pop,chn,56.5183714294269
1976-01-01,pop,jpn,67.5920652883605
1977-01-01,gdp,chn,279.560486143076
1977-01-01,gdp,jpn,23225.435710731497
1977-01-01,pop,chn,57.0748641292558
1977-01-01,pop,jpn,67.4746702524176
1978-01-01,gdp,chn,307.08736374722
1978-01-01,gdp,jpn,24229.622944362796
1978-01-01,pop,chn,57.7509512644756
1978-01-01,pop,jpn,67.4771741412703
1979-01-01,gdp,chn,326.047625691632
1979-01-01,gdp,jpn,25343.9836795842
1979-01-01,pop,chn,58.5326552392617
1979-01-01,pop,jpn,67.5007073831635
1980-01-01,gdp,chn,347.120087871446
1980-01-01,gdp,jpn,25854.575024796202
1980-01-01,pop,chn,59.3901469202396
1980-01-01,pop,jpn,67.50134488300239
1981-01-01,gdp,chn,360.427967795047
1981-01-01,gdp,jpn,26744.5561182362
1981-01-01,pop,chn,60.3857280199302
1981-01-01,pop,jpn,67.6936728903842
1982-01-01,gdp,chn,386.89034174090796
1982-01-01,gdp,jpn,27443.6096477114
1982-01-01,pop,chn,61.3441723251584
1982-01-01,pop,jpn,67.7804017800222
1983-01-01,gdp,chn,422.65919088916604
1983-01-01,gdp,jpn,28217.4982124423
1983-01-01,pop,chn,62.2745737059581
1983-01-01,pop,jpn,67.83918020279
