,origin_airport,dest_airport,airline,fare,nonstop,distance,origin_city,dest_city,passengers
51,SFO,ALB,Southwest Airlines,267.50681,0,2558.998269704693,"San Francisco, CA","Albany, NY",250
52,SFO,ALB,United Airlines,346.01852999999994,0,2558.998269704693,"San Francisco, CA","Albany, NY",270
53,SJC,ALB,Southwest Airlines,275.9325,0,2543.615783340123,"San Jose, CA","Albany, NY",320
54,OAK,ALB,Southwest Airlines,329.16162,0,2548.420186105638,"Oakland, CA","Albany, NY",430
55,SMF,ALB,Southwest Airlines,360.20417,0,2490.757964939306,"Sacramento, CA","Albany, NY",360
118,SFO,ABQ,Southwest Airlines,215.82173999999998,0,896.3344132076319,"San Francisco, CA","Albuquerque, NM",400
119,SJC,ABQ,Southwest Airlines,183.86714,1,869.9767921584472,"San Jose, CA","Albuquerque, NM",490
120,SMF,ABQ,Southwest Airlines,225.69729999999998,0,866.3809804662037,"Sacramento, CA","Albuquerque, NM",1300
121,SMF,ABQ,Southwest Airlines,213.29702999999998,1,866.3809804662037,"Sacramento, CA","Albuquerque, NM",370
122,SFO,ABQ,United Airlines,244.94445,1,896.3344132076319,"San Francisco, CA","Albuquerque, NM",360
123,SJC,ABQ,Southwest Airlines,230.20193999999998,0,869.9767921584472,"San Jose, CA","Albuquerque, NM",880
124,OAK,ABQ,Southwest Airlines,222.74601,1,888.7855260861992,"Oakland, CA","Albuquerque, NM",6440
125,OAK,ABQ,Southwest Airlines,256.33025000000004,0,888.7855260861992,"Oakland, CA","Albuquerque, NM",370
274,OAK,ATL,Southwest Airlines,259.17838,0,2129.990594034673,"Oakland, CA","Atlanta, GA",1240
275,SMF,ATL,United Airlines,307.43301,0,2092.177267322344,"Sacramento, CA","Atlanta, GA",100
276,SJC,ATL,American Airlines,308.36672999999996,0,2115.803922184516,"San Jose, CA","Atlanta, GA",520
277,SJC,ATL,Southwest Airlines,262.79037,0,2115.803922184516,"San Jose, CA","Atlanta, GA",540
278,SFO,ATL,Frontier Airlines,154.0673,0,2138.945902708684,"San Francisco, CA","Atlanta, GA",260
279,SFO,ATL,American Airlines,292.08341,0,2138.945902708684,"San Francisco, CA","Atlanta, GA",470
280,OAK,ATL,Southwest Airlines,249.61691000000005,1,2129.990594034673,"Oakland, CA","Atlanta, GA",3410
281,OAK,ATL,Delta Air Lines,282.09479,1,2129.990594034673,"Oakland, CA","Atlanta, GA",440
282,SFO,ATL,Delta Air Lines,475.03599999999994,0,2138.945902708684,"San Francisco, CA","Atlanta, GA",100
283,SFO,ATL,Delta Air Lines,339.26883000000004,1,2138.945902708684,"San Francisco, CA","Atlanta, GA",8370
284,SJC,ATL,Southwest Airlines,245.77560000000003,1,2115.803922184516,"San Jose, CA","Atlanta, GA",250
285,SFO,ATL,United Airlines,310.63397,1,2138.945902708684,"San Francisco, CA","Atlanta, GA",6290
286,OAK,ATL,Spirit Air Lines,166.05391999999998,0,2129.990594034673,"Oakland, CA","Atlanta, GA",230
287,SMF,ATL,Delta Air Lines,318.51453999999995,1,2092.177267322344,"Sacramento, CA","Atlanta, GA",3210
288,SFO,ATL,Southwest Airlines,230.86691000000005,0,2138.945902708684,"San Francisco, CA","Atlanta, GA",740
289,SMF,ATL,Southwest Airlines,270.82052000000004,0,2092.177267322344,"Sacramento, CA","Atlanta, GA",1540
290,SMF,ATL,Delta Air Lines,408.65345,0,2092.177267322344,"Sacramento, CA","Atlanta, GA",230
291,SFO,ATL,Frontier Airlines,139.66061000000002,1,2138.945902708684,"San Francisco, CA","Atlanta, GA",1450
292,SMF,ATL,Southwest Airlines,240.59081,1,2092.177267322344,"Sacramento, CA","Atlanta, GA",250
293,SJC,ATL,Delta Air Lines,335.77218000000005,1,2115.803922184516,"San Jose, CA","Atlanta, GA",2620
294,SMF,ATL,American Airlines,270.29276000000004,0,2092.177267322344,"Sacramento, CA","Atlanta, GA",400
295,SFO,ATL,United Airlines,286.69131,0,2138.945902708684,"San Francisco, CA","Atlanta, GA",230
400,SFO,AUS,Alaska Airlines,189.65852999999998,1,1503.704998005908,"San Francisco, CA","Austin, TX",820
401,SFO,AUS,United Airlines,270.50933999999995,1,1503.704998005908,"San Francisco, CA","Austin, TX",10880
402,SFO,AUS,Southwest Airlines,203.66833,0,1503.704998005908,"San Francisco, CA","Austin, TX",540
403,OAK,AUS,Southwest Airlines,251.72173999999998,0,1497.002445000632,"Oakland, CA","Austin, TX",630
404,SMF,AUS,Southwest Airlines,247.20313999999996,1,1480.616279723489,"Sacramento, CA","Austin, TX",160
405,OAK,AUS,Southwest Airlines,228.20928,1,1497.002445000632,"Oakland, CA","Austin, TX",4620
406,SFO,AUS,United Airlines,283.17301000000003,0,1503.704998005908,"San Francisco, CA","Austin, TX",100
407,SMF,AUS,American Airlines,288.38782000000003,0,1480.616279723489,"Sacramento, CA","Austin, TX",320
408,SMF,AUS,Southwest Airlines,268.15587999999997,0,1480.616279723489,"Sacramento, CA","Austin, TX",1850
409,SMF,AUS,United Airlines,224.98765,0,1480.616279723489,"Sacramento, CA","Austin, TX",170
410,SJC,AUS,JetBlue Airways,251.6,0,1475.916248541763,"San Jose, CA","Austin, TX",100
411,SJC,AUS,American Airlines,270.02227000000005,0,1475.916248541763,"San Jose, CA","Austin, TX",220
412,SFO,AUS,Virgin America,244.86761,1,1503.704998005908,"San Francisco, CA","Austin, TX",5250
413,SJC,AUS,Southwest Airlines,291.54339,0,1475.916248541763,"San Jose, CA","Austin, TX",710
414,SFO,AUS,American Airlines,280.82708999999994,0,1503.704998005908,"San Francisco, CA","Austin, TX",310
415,SJC,AUS,Southwest Airlines,257.72631,1,1475.916248541763,"San Jose, CA","Austin, TX",5610
422,SFO,BIL,United Airlines,200.18182000000002,0,909.3682179114243,"San Francisco, CA","Billings, MT",110
461,OAK,BHM,Southwest Airlines,266.41412,0,2004.464757823656,"Oakland, CA","Birmingham, AL",510
462,SFO,BHM,Delta Air Lines,463.0952400000001,0,2013.264645695119,"San Francisco, CA","Birmingham, AL",210
463,SMF,BHM,Southwest Airlines,292.9574,0,1968.3116991199329,"Sacramento, CA","Birmingham, AL",500
464,SJC,BHM,Southwest Airlines,271.00265,0,1989.6719644880388,"San Jose, CA","Birmingham, AL",150
511,SFO,BOI,United Airlines,293.54789,1,522.2088256371693,"San Francisco, CA","Boise, ID",1880
512,SJC,BOI,Southwest Airlines,186.02648000000002,0,522.6848875631642,"San Jose, CA","Boise, ID",170
513,SJC,BOI,Alaska Airlines,140.00621,1,522.6848875631642,"San Jose, CA","Boise, ID",1610
514,OAK,BOI,Southwest Airlines,201.04078999999996,1,511.51904457472733,"Oakland, CA","Boise, ID",3150
515,SMF,BOI,Alaska Airlines,111.09826999999999,1,437.2140590866815,"Sacramento, CA","Boise, ID",1730
516,SMF,BOI,Southwest Airlines,130.45349,1,437.2140590866815,"Sacramento, CA","Boise, ID",2520
745,SFO,BOS,United Airlines,646.54217,0,2704.105507782648,"San Francisco, CA","Boston, MA",650
746,SJC,BOS,American Airlines,426.89304000000004,0,2688.694886527358,"San Jose, CA","Boston, MA",360
747,SFO,BOS,Delta Air Lines,286.10055,1,2704.105507782648,"San Francisco, CA","Boston, MA",1260
748,SJC,BOS,JetBlue Airways,272.40057,1,2688.694886527358,"San Jose, CA","Boston, MA",2110
749,OAK,BOS,Southwest Airlines,296.38472,1,2693.5296587591697,"Oakland, CA","Boston, MA",170
750,SMF,BOS,Southwest Airlines,234.37901000000002,1,2635.871643412008,"Sacramento, CA","Boston, MA",100
751,SJC,BOS,Southwest Airlines,299.49832000000004,0,2688.694886527358,"San Jose, CA","Boston, MA",300
752,OAK,BOS,JetBlue Airways,265.75,1,2693.5296587591697,"Oakland, CA","Boston, MA",660
753,SFO,BOS,JetBlue Airways,367.81991,1,2704.105507782648,"San Francisco, CA","Boston, MA",4880
754,SMF,MHT,Southwest Airlines,266.81936,0,2606.55907740537,"Sacramento, CA","Manchester, NH",320
755,SFO,BOS,Southwest Airlines,255.76742000000002,0,2704.105507782648,"San Francisco, CA","Boston, MA",270
756,SJC,MHT,Southwest Airlines,319.89641,0,2660.468424184638,"San Jose, CA","Manchester, NH",140
757,OAK,BOS,American Airlines,297.66665,0,2693.5296587591697,"Oakland, CA","Boston, MA",120
