iso,cont
AFG,Asia
ALB,Europe
DZA,Africa
AGO,Africa
ARG,Americas
ARM,Europe
AUS,Asia
AUT,Europe
AZE,Europe
BHR,Asia
BGD,Asia
BLR,Europe
BEL,Europe
BEN,Africa
BOL,Americas
BIH,Europe
BWA,Africa
BRA,Americas
BGR,Europe
BFA,Africa
BDI,Africa
KHM,Asia
CMR,Africa
CAN,Americas
CAF,Africa
TCD,Africa
CHL,Americas
CHN,Asia
COL,Americas
COD,Africa
COG,Africa
CRI,Americas
CIV,Africa
HRV,Europe
CYP,Europe
CZE,Europe
DNK,Europe
DOM,Americas
ECU,Americas
EGY,Africa
SLV,Americas
GNQ,Africa
EST,Europe
SWZ,Africa
ETH,Africa
FIN,Europe
FRA,Europe
GAB,Africa
GMB,Africa
GEO,Europe
DEU,Europe
GHA,Africa
GRC,Europe
GTM,Americas
GIN,Africa
GNB,Africa
HTI,Americas
HND,Americas
HKG,Asia
HUN,Europe
IND,Asia
IDN,Asia
IRN,Asia
IRQ,Asia
IRL,Europe
ISR,Asia
ITA,Europe
JAM,Americas
JPN,Asia
JOR,Asia
KAZ,Europe
KEN,Africa
KOR,Asia
XKX,Europe
KWT,Asia
KGZ,Asia
LAO,Asia
LVA,Asia
LBN,Europe
LSO,Africa
LBR,Africa
LBY,Africa
LTU,Europe
MDG,Africa
MWI,Africa
MYS,Asia
MLI,Africa
MRT,Africa
MUS,Africa
MEX,Americas
MDA,Europe
MNG,Asia
MAR,Africa
MOZ,Africa
MMR,Asia
NAM,Africa
NPL,Asia
NLD,Europe
NZL,Asia
NIC,Americas
NER,Africa
NGA,Africa
MKD,Europe
NOR,Europe
OMN,Asia
PAK,Asia
PAN,Americas
PNG,Asia
PRY,Americas
PER,Americas
PHL,Asia
POL,Europe
PRT,Europe
PRI,Americas
QAT,Asia
ROU,Europe
RUS,Europe
RWA,Africa
SAU,Asia
SEN,Africa
SRB,Europe
SLE,Africa
SGP,Asia
SVK,Europe
SVN,Europe
SOM,Africa
ZAF,Africa
ESP,Europe
LKA,Asia
SDN,Africa
SWE,Europe
CHE,Europe
TJK,Asia
TZA,Africa
THA,Asia
TLS,Asia
TGO,Africa
TTO,Americas
TUN,Africa
TUR,Europe
UGA,Africa
UKR,Europe
ARE,Asia
GBR,Europe
USA,Americas
URY,Americas
UZB,Asia
VNM,Asia
PSE,Europe
ZMB,Africa
ZWE,Africa
