series,contestant,episode,var,value
1,Frank Skinner,1,score,19.0
1,Frank Skinner,1,win,1.0
1,Frank Skinner,1,score_win,19.0
1,Frank Skinner,2,score,9.0
1,Frank Skinner,2,win,0.0
1,Frank Skinner,3,score,15.0
1,Frank Skinner,3,win,0.0
1,Frank Skinner,4,score,14.0
1,Frank Skinner,4,win,0.0
1,Frank Skinner,5,score,20.0
1,Frank Skinner,5,win,1.0
1,Frank Skinner,5,score_win,20.0
1,Frank Skinner,6,score,16.0
1,Frank Skinner,6,win,0.0
1,Josh Widdicombe,1,score,13.0
1,Josh Widdicombe,1,win,0.0
1,Josh Widdicombe,2,score,16.0
1,Josh Widdicombe,2,win,0.0
1,Josh Widdicombe,3,score,22.0
1,Josh Widdicombe,3,win,1.0
1,Josh Widdicombe,3,score_win,22.0
1,Josh Widdicombe,4,score,16.0
1,Josh Widdicombe,4,win,1.0
1,Josh Widdicombe,4,score_win,16.0
1,Josh Widdicombe,5,score,18.0
1,Josh Widdicombe,5,win,0.0
1,Josh Widdicombe,6,score,9.0
1,Josh Widdicombe,6,win,0.0
1,Roisin Conaty,1,score,7.0
1,Roisin Conaty,1,win,0.0
1,Roisin Conaty,2,score,21.0
1,Roisin Conaty,2,win,1.0
1,Roisin Conaty,2,score_win,21.0
1,Roisin Conaty,3,score,9.0
1,Roisin Conaty,3,win,0.0
1,Roisin Conaty,4,score,9.0
1,Roisin Conaty,4,win,0.0
1,Roisin Conaty,5,score,14.0
1,Roisin Conaty,5,win,0.0
1,Roisin Conaty,6,score,8.0
1,Roisin Conaty,6,win,0.0
1,Romesh Ranganathan,1,score,19.0
1,Romesh Ranganathan,1,win,1.0
1,Romesh Ranganathan,1,score_win,19.0
1,Romesh Ranganathan,2,score,14.0
1,Romesh Ranganathan,2,win,0.0
1,Romesh Ranganathan,3,score,22.0
1,Romesh Ranganathan,3,win,1.0
1,Romesh Ranganathan,3,score_win,22.0
1,Romesh Ranganathan,4,score,10.0
1,Romesh Ranganathan,4,win,0.0
1,Romesh Ranganathan,5,score,16.0
1,Romesh Ranganathan,5,win,0.0
1,Romesh Ranganathan,6,score,12.0
1,Romesh Ranganathan,6,win,0.0
1,Tim Key,1,score,17.0
1,Tim Key,1,win,0.0
1,Tim Key,2,score,18.0
1,Tim Key,2,win,0.0
1,Tim Key,3,score,16.0
1,Tim Key,3,win,0.0
1,Tim Key,4,score,9.0
1,Tim Key,4,win,0.0
1,Tim Key,5,score,10.0
1,Tim Key,5,win,0.0
1,Tim Key,6,score,18.0
1,Tim Key,6,win,1.0
1,Tim Key,6,score_win,18.0
2,Doc Brown,1,score,9.0
2,Doc Brown,1,win,0.0
2,Doc Brown,2,score,18.0
2,Doc Brown,2,win,0.0
2,Doc Brown,3,score,21.0
2,Doc Brown,3,win,0.0
2,Doc Brown,4,score,18.0
2,Doc Brown,4,win,1.0
2,Doc Brown,4,score_win,18.0
2,Doc Brown,5,score,12.0
2,Doc Brown,5,win,0.0
2,Joe Wilkinson,1,score,8.0
2,Joe Wilkinson,1,win,0.0
2,Joe Wilkinson,2,score,13.0
2,Joe Wilkinson,2,win,0.0
2,Joe Wilkinson,3,score,25.0
2,Joe Wilkinson,3,win,0.0
2,Joe Wilkinson,4,score,12.0
2,Joe Wilkinson,4,win,0.0
2,Joe Wilkinson,5,score,11.0
2,Joe Wilkinson,5,win,0.0
2,Jon Richardson,1,score,18.0
2,Jon Richardson,1,win,0.0
2,Jon Richardson,2,score,25.0
2,Jon Richardson,2,win,1.0
2,Jon Richardson,2,score_win,25.0
2,Jon Richardson,3,score,17.0
2,Jon Richardson,3,win,0.0
2,Jon Richardson,4,score,17.0
2,Jon Richardson,4,win,0.0
2,Jon Richardson,5,score,13.0
2,Jon Richardson,5,win,0.0
2,Katherine Ryan,1,score,17.0
2,Katherine Ryan,1,win,0.0
2,Katherine Ryan,2,score,19.0
2,Katherine Ryan,2,win,0.0
2,Katherine Ryan,3,score,30.0
2,Katherine Ryan,3,win,1.0
2,Katherine Ryan,3,score_win,30.0
2,Katherine Ryan,4,score,15.0
2,Katherine Ryan,4,win,0.0
2,Katherine Ryan,5,score,13.0
2,Katherine Ryan,5,win,0.0
2,Richard Osman,1,score,20.0
2,Richard Osman,1,win,1.0
2,Richard Osman,1,score_win,20.0
2,Richard Osman,2,score,15.0
2,Richard Osman,2,win,0.0
2,Richard Osman,3,score,27.0
2,Richard Osman,3,win,0.0
2,Richard Osman,4,score,5.0
2,Richard Osman,4,win,0.0
2,Richard Osman,5,score,19.0
2,Richard Osman,5,win,1.0
2,Richard Osman,5,score_win,19.0
3,Al Murray,1,score,21.0
3,Al Murray,1,win,1.0
3,Al Murray,1,score_win,21.0
3,Al Murray,2,score,18.0
3,Al Murray,2,win,0.0
3,Al Murray,3,score,9.0
3,Al Murray,3,win,0.0
3,Al Murray,4,score,16.0
3,Al Murray,4,win,0.0
3,Al Murray,5,score,16.0
3,Al Murray,5,win,0.0
3,Dave Gorman,1,score,13.0
3,Dave Gorman,1,win,0.0
3,Dave Gorman,2,score,17.0
3,Dave Gorman,2,win,0.0
3,Dave Gorman,3,score,21.0
3,Dave Gorman,3,win,0.0
3,Dave Gorman,4,score,17.0
3,Dave Gorman,4,win,1.0
3,Dave Gorman,4,score_win,17.0
3,Dave Gorman,5,score,13.0
3,Dave Gorman,5,win,0.0
3,Paul Chowdhry,1,score,8.0
3,Paul Chowdhry,1,win,0.0
3,Paul Chowdhry,2,score,13.0
3,Paul Chowdhry,2,win,0.0
3,Paul Chowdhry,3,score,22.0
3,Paul Chowdhry,3,win,1.0
3,Paul Chowdhry,3,score_win,22.0
3,Paul Chowdhry,4,score,11.0
3,Paul Chowdhry,4,win,0.0
3,Paul Chowdhry,5,score,12.0
3,Paul Chowdhry,5,win,0.0
3,Rob Beckett,1,score,15.0
3,Rob Beckett,1,win,0.0
3,Rob Beckett,2,score,21.0
3,Rob Beckett,2,win,1.0
3,Rob Beckett,2,score_win,21.0
3,Rob Beckett,3,score,19.0
3,Rob Beckett,3,win,0.0
3,Rob Beckett,4,score,15.0
3,Rob Beckett,4,win,0.0
3,Rob Beckett,5,score,17.0
3,Rob Beckett,5,win,1.0
3,Rob Beckett,5,score_win,17.0
3,Sara Pascoe,1,score,16.0
3,Sara Pascoe,1,win,0.0
3,Sara Pascoe,2,score,16.0
3,Sara Pascoe,2,win,0.0
3,Sara Pascoe,3,score,17.0
3,Sara Pascoe,3,win,0.0
3,Sara Pascoe,4,score,14.0
3,Sara Pascoe,4,win,0.0
3,Sara Pascoe,5,score,9.0
3,Sara Pascoe,5,win,0.0
4,Hugh Dennis,1,score,13.0
