review,label
"This is the follow-up creation to Better Off Dead. In a competition, Better Off Dead would win hands-down. But for star power, One Crazy Summer outshines Savage Steve's better script. Problems with One Crazy Summer (OCS): casting. Better Off Dead (BOD) was cast so much better. Friendship: OCS shows Cusack giving hateful looks to Bill Murray's little bro. Trouble on the set?? More outrageous friends in OCS, but more genuine friends in BOD. Plot was good. You'll predict some of it, but even the predictable parts go further than you think they could. So, even though this is Better Off Dead's ugly stepsister, it's worth a look. See Demi Moore before the plastic surgery if for no other reason. John Cusack fans, you gotta see it, just to say you have. If you don't like Bobcat Golthwaite, I'm sorry. I don't like him either, but you can't escape him in this one. At least he does a great job in the film doing a tribute to another movie monster. Editing needed help on the beach, but for most part, not much to complain about. Overall, it's good and funny. But try not to compare it to BOD or you'll find it lacking. *sigh*",1
"effect? Drive is a cool episode, but looking at route 36 on my U.S. atlas, there's no way Mulder could've maintained a speed of 70-100 MPH on that road. If he had been on I-80, the freeway, maybe. But no way on a state road with that many curves. All of the filming inside the car looked very authentic. Excellent job by Rob Bowman. It looks nothing like the old days of the obvious blue screen or clip of passing scenery outside a car window on a stage. This was a fun episode, but some of the inaccuracies keep it from being a great episode. It keeps you on the edge of your seat, so hold on for a fast ride!",1
"This Columbo episode is one of the better and perhaps one of my personal favorites. The cast includes Rosemary's Baby John Cassavetes as the maestro, his wife played by Blythe Danner (Gwyneth Paltrow's mom) and his mother-in-law played by Myrna Loy (one of America's greatest leading actresses in film of our time). Anyway I disagree with anybody who criticizes against this film. This episode is one of my favorites because you have an excellent cast who do a superb job in performing. I love watching Columbo with his beloved dog who he never names in the series. This time, the episode focuses in on classical music at the Hollywood Bowl, one of L.A.'s attractions. Of course, Columbo becomes as interested in classical music as he does anything else involving a crime.",1
"Duke in charge stuff, when there are tons of other *officers* around instead.<br /><br />The battle sequences are similar to the old series as well; the main trick here seems to be the CGI. It's overall pretty good, if not a little over-the-top.",1
"This movie gives Daniel Wu his chance to do a great action movie, but I really find Emil Chow's character really great, gutsy but determined to righting wrongs. Plus the main terrorist, it gets me wondering his revolution, makes me wonder if he is doing this for good or bad.<br /><br />A movie that tells us about Todd, an amnesiac terrorist being tricked as an undercover until he learns who he really is. The consequences that he makes from his terrorist family, gives him a the choice of redemption.<br /><br />Purple Storm was one of the best ones that I have seen this year. The movie really stands out when it is filled with tremendous action scenes set-up by Stephen Tung Wai, which won the best action sequences in the Hong Kong Awards. (9/10)",1
"It's not like an historical movie, it's not a movie with unforgettable love stories, it's not a movie with a spectacular scenario, but i can surely say it's a movie with a great atmosphere...<br /><br />It had that 60's kind of bohemian and rebellious spirit: a group of friends living in a poor apartment in Paris, each one making art, dreaming of changing the world, doing drugs and loving in his very own way.<br /><br />It takes a lot of patience to watch, and a special mood, that if you're not in, you might find it extremely boring and dull.<br /><br />I liked a lot the very realistic approach of the events that took place and their immediate effect on student's lives: the fear for their future, the difficulty of earning their living, the obstacles in following their dreams.<br /><br />What i absolutely loved was the black & white image. The still camera angles were amazing, they were like freezing moments. It left me the impression of a long slide show of old and very emotive and suggestive photographs. I actually had to see the movie again, just to take those amazing screen-shots.<br /><br />In one word: beautiful...",1
"child of the Eighties like me, you probably remember this 1981 Disney movie--one of Disney's first PG-rated films, and Michael J. Fox's screen debut. I can remember watching this film over and over on HBO when I was on middle school, and I only recently found a very old copy of it, since Disney stopped producing the movie several years ago. Needless to say, this is a real fun movie to watch. Five college teams decipher clues in an evening race around Los Angeles, trying to reach the finish line first. Watch for the cameo from Paul Reubens. From the cheesy music to the disco scene with the fat twins, this is a quintessential 1980s fun film that you'll love.",1
"Quite simply, i was tickled pink watching this in the movie theatre and grinned from ear to ear; eyes wide open whilst trying to take all the details in that are at the same time insanely simple, fresh, yet incredibly sophisticated, breathtaking and in imaginative.<br /><br />In terms of audience age range, it is probably pre Totoro. The plot works because of the pure heart of 5 years olds who are focused in what they want and conscientious in their pursuit. They lives in a world that is unspoilt by cynicism and cultural learning of how everything is 'suppose' to work. While most critics might disregard this film due to the lack of a 'message' or 'plot' film (Although it is in there somewhere), it is precisely for this reason the film should be cherished. Too often our judgement are impeded by our own limitations of cinematic and cultural standing. Like most of Miyasaki's film, each is totally unique but undeniably Miyasaki. Ponyo may at times feel so unique and fresh, it may feel alien like.<br /><br />The viewing experience provide a wonderful change from all the generic children's products that are generally commercialised to please the adult demographics (ie/ Animals that talks like their human counterparts, Eddie Murphy in Shrek.) It is perhaps comforting to know that good old fashioned hand drawn cells still work so incredibly well in this digital era where Toystory/WallE/Shrek/Cars generally triumph. It therefore feeling rather nostalgic at the same time makes the film feels timeless, a bit like how Totoro and Jungle Book hasn't really aged.<br /><br />The subtleties of each character's expression and body language is captured in such nuanced interpretation that digital films like Wall-e can never compete on, or if it does, it would be a very expensive process. It would be a big pity for Wall-E to win over this one at the Oscars, and it probably will this year. Yet it might be quite unfair to compare the 2 mediums, as it is really the craftsmanship and the story telling that wins at the end of the day.",1
"Twins Effect, starring some of HK's most popular stars provides one of the most enjoyable film experiences to come out of HK in sometime. It has something for everyone, action, comedy, horror, romance, and some drama. This film can't be taken too seriously, otherwise you'd go in dissapointed, but if you leave your brain at the door, and just watch the film for some fun, you're bound to enjoy it.<br /><br />Great special effects, excellent action, cute Twins, cool HK actors, FUN film!<br /><br />I'd recommend it to anyone!",1
"I'll make this brief. This was a joy to watch. It may or may not have been more effective if the characters had resembled their real life counterparts, but aside from this minor observation I found the fantasy animal characters to be most enjoyable. The visuals were most stunning except for the second-rate CG scenes, which could have been left out. I dislike computer generated animation anyways, it defeats the purpose of a biopic such as this one. Watch it, you will appreciate it too!",1
