DATE,GDP,Unemployment,Employment,Deficit
1990-01-01,4.4,5.4,109199,-3.7067
1990-02-01,,5.3,109435,
1990-03-01,,5.2,109644,
1990-04-01,1.5,5.4,109686,
1990-05-01,,5.4,109839,
1990-06-01,,5.2,109856,
1990-07-01,0.3,5.5,109824,
1990-08-01,,5.7,109616,
1990-09-01,,5.9,109518,
1990-10-01,-3.6,5.9,109367,
1990-11-01,,6.2,109214,
1990-12-01,,6.3,109166,
1991-01-01,-1.9,6.4,109055,-4.37207
1991-02-01,,6.6,108734,
1991-03-01,,6.8,108574,
1991-04-01,3.2,6.7,108364,
1991-05-01,,6.9,108249,
1991-06-01,,6.9,108334,
1991-07-01,2.0,6.8,108292,
1991-08-01,,6.9,108310,
1991-09-01,,6.9,108336,
1991-10-01,1.4,7.0,108357,
1991-11-01,,7.0,108296,
1991-12-01,,7.3,108328,
1992-01-01,4.9,7.3,108369,-4.45255
1992-02-01,,7.4,108311,
1992-03-01,,7.4,108365,
1992-04-01,4.4,7.4,108519,
1992-05-01,,7.6,108649,
1992-06-01,,7.8,108715,
1992-07-01,4.0,7.7,108793,
1992-08-01,,7.6,108925,
1992-09-01,,7.6,108959,
1992-10-01,4.2,7.3,109139,
1992-11-01,,7.4,109272,
1992-12-01,,7.4,109495,
1993-01-01,0.7,7.3,109794,-3.71873
1993-02-01,,7.1,110044,
1993-03-01,,7.0,109994,
1993-04-01,2.3,7.1,110296,
1993-05-01,,7.1,110568,
1993-06-01,,7.0,110749,
1993-07-01,1.9,6.9,111055,
1993-08-01,,6.8,111206,
1993-09-01,,6.7,111448,
1993-10-01,5.5,6.8,111733,
1993-11-01,,6.6,111984,
1993-12-01,,6.5,112314,
1994-01-01,3.9,6.6,112595,-2.78825
1994-02-01,,6.6,112781,
1994-03-01,,6.5,113242,
1994-04-01,5.5,6.4,113586,
1994-05-01,,6.1,113921,
1994-06-01,,6.1,114238,
1994-07-01,2.4,6.1,114610,
1994-08-01,,6.0,114896,
1994-09-01,,5.9,115247,
1994-10-01,4.7,5.8,115458,
1994-11-01,,5.6,115869,
1994-12-01,,5.5,116165,
1995-01-01,1.4,5.6,116501,-2.14604
1995-02-01,,5.4,116697,
1995-03-01,,5.4,116907,
1995-04-01,1.2,5.8,117069,
1995-05-01,,5.6,117049,
1995-06-01,,5.6,117286,
1995-07-01,3.4,5.7,117380,
1995-08-01,,5.7,117634,
1995-09-01,,5.6,117875,
1995-10-01,2.7,5.5,118031,
1995-11-01,,5.6,118175,
1995-12-01,,5.6,118320,
1996-01-01,3.0,5.6,118316,-1.33072
1996-02-01,,5.5,118739,
1996-03-01,,5.5,118993,
1996-04-01,6.8,5.6,119158,
1996-05-01,,5.6,119486,
1996-06-01,,5.3,119769,
1996-07-01,3.6,5.5,120015,
1996-08-01,,5.1,120199,
1996-09-01,,5.2,120410,
1996-10-01,4.2,5.2,120665,
1996-11-01,,5.4,120961,
1996-12-01,,5.4,121143,
1997-01-01,2.6,5.3,121363,-0.25513
1997-02-01,,5.2,121675,
1997-03-01,,5.2,121990,
1997-04-01,6.8,5.1,122286,
1997-05-01,,4.9,122546,
1997-06-01,,5.0,122814,
1997-07-01,5.1,4.9,123111,
1997-08-01,,4.8,123093,
1997-09-01,,4.9,123585,
1997-10-01,3.5,4.7,123929,
1997-11-01,,4.6,124235,
1997-12-01,,4.7,124549,
1998-01-01,4.1,4.6,124812,0.76433
1998-02-01,,4.6,125016,
1998-03-01,,4.7,125164,
1998-04-01,3.8,4.3,125442,
1998-05-01,,4.4,125844,
1998-06-01,,4.5,126076,
1998-07-01,5.1,4.5,126205,
1998-08-01,,4.5,126544,
1998-09-01,,4.6,126752,
1998-10-01,6.6,4.5,126954,
1998-11-01,,4.4,127231,
1998-12-01,,4.4,127596,
1999-01-01,3.8,4.3,127702,1.3042
1999-02-01,,4.4,128120,
1999-03-01,,4.2,128227,
1999-04-01,3.4,4.3,128597,
1999-05-01,,4.2,128808,
1999-06-01,,4.3,129089,
1999-07-01,5.4,4.3,129414,
1999-08-01,,4.2,129569,
1999-09-01,,4.2,129772,
1999-10-01,6.7,4.1,130177,
1999-11-01,,4.1,130466,
1999-12-01,,4.0,130772,
2000-01-01,1.5,4.0,131005,2.30458
2000-02-01,,4.1,131124,
2000-03-01,,4.0,131596,
2000-04-01,7.5,3.8,131888,
2000-05-01,,4.0,132105,
2000-06-01,,4.0,132061,
2000-07-01,0.4,4.0,132236,
2000-08-01,,4.1,132230,
2000-09-01,,3.9,132353,
2000-10-01,2.4,3.9,132351,
2000-11-01,,3.9,132556,
2000-12-01,,3.9,132709,
2001-01-01,-1.3,4.2,132698,1.21184
2001-02-01,,4.2,132789,
2001-03-01,,4.3,132747,
2001-04-01,2.5,4.4,132463,
2001-05-01,,4.3,132410,
2001-06-01,,4.5,132299,
2001-07-01,-1.6,4.6,132177,
2001-08-01,,4.9,132028,
2001-09-01,,5.0,131771,
2001-10-01,1.1,5.3,131454,
2001-11-01,,5.5,131142,
2001-12-01,,5.7,130982,
2002-01-01,3.4,5.7,130852,-1.44347
2002-02-01,,5.7,130736,
2002-03-01,,5.7,130717,
2002-04-01,2.5,5.9,130623,
2002-05-01,,5.8,130634,
2002-06-01,,5.8,130684,
2002-07-01,1.6,5.8,130590,
2002-08-01,,5.7,130587,
2002-09-01,,5.7,130501,
2002-10-01,0.5,5.7,130628,
2002-11-01,,5.9,130615,
2002-12-01,,6.0,130472,
2003-01-01,2.1,5.8,130580,-3.29583
2003-02-01,,5.9,130444,
2003-03-01,,5.9,130232,
2003-04-01,3.6,6.0,130177,
2003-05-01,,6.1,130196,
2003-06-01,,6.3,130194,
2003-07-01,6.8,6.2,130191,
2003-08-01,,6.1,130149,
2003-09-01,,6.1,130254,
